"日期","收盘","开盘","高","低","涨跌幅"
"2021年10月10日","17.7435","17.4083","17.7938","17.4037","1.89%"
"2021年10月3日","17.4146","17.2236","17.4223","17.1911","1.12%"
"2021年9月26日","17.2221","17.1169","17.3414","17.1056","0.61%"
"2021年9月19日","17.1182","17.0075","17.1357","16.8753","0.68%"
"2021年9月12日","17.0032","17.0522","17.0908","16.9534","-0.32%"
"2021年9月5日","17.0574","17.0070","17.0896","16.9799","0.31%"
"2021年8月29日","17.0045","16.9744","17.0840","16.9505","0.22%"
"2021年8月22日","16.9672","16.8892","17.0208","16.8769","0.47%"
"2021年8月15日","16.8876","16.9366","16.9771","16.8259","-0.16%"
"2021年8月8日","16.9142","17.0070","17.0879","16.9111","-0.52%"
"2021年8月1日","17.0021","16.9769","17.0246","16.8320","0.15%"
"2021年7月25日","16.9762","17.0590","17.0628","16.8296","-0.45%"
"2021年7月18日","17.0536","16.9644","17.0748","16.8090","0.43%"
"2021年7月11日","16.9805","17.0035","17.1138","16.9743","-0.11%"
"2021年7月4日","16.9993","17.1565","17.2050","16.8770","-0.89%"
"2021年6月27日","17.1517","17.1532","17.2639","17.0756","-0.00%"
"2021年6月20日","17.1524","17.0871","17.1777","16.9594","0.46%"
"2021年6月13日","17.0739","17.1355","17.3248","17.0534","-0.33%"
"2021年6月6日","17.1309","17.1245","17.1821","17.0618","0.07%"
"2021年5月30日","17.1185","17.2468","17.2642","17.0958","-0.77%"
"2021年5月23日","17.2512","16.9322","17.2907","16.8958","1.89%"
"2021年5月16日","16.9306","16.9758","17.0116","16.8669","-0.32%"
"2021年5月9日","16.9849","16.8932","17.0156","16.8526","0.63%"
"2021年5月2日","16.8791","16.8788","16.9468","16.8195","0.00%"
"2021年4月25日","16.8783","16.6248","16.9000","16.5870","1.61%"
"2021年4月18日","16.6110","16.6808","16.7097","16.5591","-0.40%"
"2021年4月11日","16.6784","16.7366","16.7596","16.6180","-0.31%"
"2021年4月4日","16.7308","16.8454","16.8772","16.6420","-0.69%"
"2021年3月28日","16.8473","16.7630","16.9255","16.6896","0.52%"
"2021年3月21日","16.7599","16.7253","16.7964","16.6196","0.23%"
"2021年3月14日","16.7209","16.7575","16.8157","16.6971","-0.15%"
"2021年3月7日","16.7466","16.6860","16.7892","16.6069","0.43%"
"2021年2月28日","16.6741","16.4576","16.7481","16.4259","1.34%"
"2021年2月21日","16.4544","16.3241","16.4883","16.2296","0.82%"
"2021年2月14日","16.3209","16.2576","16.4481","16.2468","0.51%"
"2021年2月7日","16.2375","16.2966","16.3759","16.1883","-0.33%"
"2021年1月31日","16.2919","16.2849","16.3618","16.1868","0.08%"
"2021年1月24日","16.2787","16.0131","16.3129","16.0020","1.70%"
"2021年1月17日","16.0070","16.0110","16.0631","15.9615","-0.11%"
"2021年1月10日","16.0251","16.0443","16.1410","15.9949","-0.15%"
"2021年1月3日","16.0485","15.8082","16.0909","15.7814","1.52%"
"2020年12月27日","15.8079","15.8267","15.8939","15.7303","-0.05%"
"2020年12月20日","15.8159","15.8199","15.8925","15.7617","0.13%"
"2020年12月13日","15.7954","15.8877","15.9248","15.7459","-0.56%"
"2020年12月6日","15.8842","15.9433","15.9861","15.8547","-0.35%"
"2020年11月29日","15.9406","15.8229","15.9634","15.7543","0.76%"
"2020年11月22日","15.8209","15.8197","15.9071","15.7739","0.02%"
"2020年11月15日","15.8183","15.8760","15.9678","15.7545","-0.07%"
"2020年11月8日","15.8297","15.6311","15.9691","15.6084","1.34%"
"2020年11月1日","15.6206","15.6252","15.7763","15.5708","-0.08%"
"2020年10月25日","15.6331","15.6644","15.7004","15.4860","-0.11%"
"2020年10月18日","15.6504","15.7362","15.8472","15.6400","-0.53%"
"2020年10月11日","15.7337","15.7893","15.8162","15.5820","-0.22%"
